Produk: CNF - 10 ml,Unnamed: 1,Unnamed: 2,Unnamed: 3
Potensi Hasil Produk (Yield):,100,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 100 Botol (ml/unit),Keterangan
Botol 10 ml,1 botol (10 ml),100 botol (1000 ml),Botol 10 ml untuk setiap produk
Essence Oil CNF,"0,15 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,10 ml,1000 ml,Sisa dari ukuran botol setelah essence oil
Stiker CNF 10 ml,1 stiker,100 stiker,1 stiker per botol
Pump Botol 10 ml,1 pump,100 pump,1 pump per botol
,,,
Produk: CNF - 15 ml,,,
Potensi Hasil Produk (Yield):,50,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 50 Botol (ml/unit),Keterangan
Botol 15 ml,1 botol (15 ml),50 botol (750 ml),Botol 15 ml untuk setiap produk
Essence Oil CNF,"0,3 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,15 ml,2500 ml,Sisa dari ukuran botol setelah essence oil
Stiker CNF 15 ml,1 stiker,50 stiker,1 stiker per botol
Pump Botol 15 ml,1 pump,50 pump,1 pump per botol
,,,
Produk: CNF - 30 ml,,,
Potensi Hasil Produk (Yield):,25,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 25 Botol (ml/unit),Keterangan
Botol 30 ml,1 botol (30 ml),25 botol (750 ml),Botol 30 ml untuk setiap produk
Essence Oil CNF,"0,6 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,30 ml,,Sisa dari ukuran botol setelah essence oil
Stiker CNF30 ml,1 stiker,25 stiker,1 stiker per botol
Pump Botol 30 ml,1 pump,25 pump,1 pump per botol
,,,
Produk: CNF001 - 100 ml,,,
Potensi Hasil Produk (Yield):,20,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 20 Botol (ml/unit),Keterangan
Botol 100 ml,1 botol (100 ml),20 botol (2000 ml),Botol 100 ml untuk setiap produk
Essence Oil CNF,"0,75 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,100 ml,2000 ml,Sisa dari ukuran botol setelah essence oil
Stiker CNF 100 ml,1 stiker,20 stiker,1 stiker per botol
Pump Botol 100ml,1 pump,20 pump,1 pump per botol
,,,
Produk: CNF - 250 ml,,,
Potensi Hasil Produk (Yield):,20,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 20 Botol (ml/unit),Keterangan
Botol 250 ml,1 botol (250 ml),20 botol (5000 ml),Botol 250 ml untuk setiap produk
Essence Oil CNF,"0,75 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,250 ml,5000 ml,Sisa dari ukuran botol setelah essence oil
Stiker CNF 250 ml,1 stiker,20 stiker,1 stiker per botol
Pump Botol 250 ml,1 pump,20 pump,1 pump per botol
,,,
Produk: DS - 10 ml,,,
Potensi Hasil Produk (Yield):,50,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 50 Botol (ml/unit),Keterangan
Botol 10 ml,1 botol (10 ml),50 botol (500 ml),Botol 10 ml untuk setiap produk
Essence Oil DS,"0,1 ml",5 ml,Diperlukan untuk setiap botol
Sunflower Oil,10 ml,500 ml,Sisa dari ukuran botol setelah essence oil
Stiker DS 10 ml,1 stiker,50 stiker,1 stiker per botol
Pump Botol 10ml,1 pump,50 pump,1 pump per botol
,,,
Produk: DS- 15 ml,,,
Potensi Hasil Produk (Yield):,25,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 25 Botol (ml/unit),Keterangan
Botol 15 ml,1 botol (15 ml),25 botol (375 ml),Botol 15 ml untuk setiap produk
Essence Oil DS,"0,2 ml",5 ml,Diperlukan untuk setiap botol
Sunflower Oil,15 ml,375 ml,Sisa dari ukuran botol setelah essence oil
Stiker DS 15 ml,1 stiker,25 stiker,1 stiker per botol
Pump Botol 15 ml,1 pump,25 pump,1 pump per botol
,,,
Produk: DS - 30 ml,,,
Potensi Hasil Produk (Yield):,12.5,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 12.5 Botol (ml/unit),Keterangan
Botol 30 ml,1 botol (30 ml),"12,5 botol (375 ml)",Botol 30 ml untuk setiap produk
Essence Oil DS,"0,4 ml",5 ml,Diperlukan untuk setiap botol
Sunflower Oil,30 ml,375 ml,Sisa dari ukuran botol setelah essence oil
Stiker DS 30 ml,1 stiker,"12,5 stiker",1 stiker per botol
Pump Botol 30 ml,1 pump,"12,5 pump",1 pump per botol
,,,
Produk: DS - 100 ml,,,
Potensi Hasil Produk (Yield):,6,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 6 Botol (ml/unit),Keterangan
Botol 100 ml,1 botol (100 ml),6 botol (600 ml),Botol 100 ml untuk setiap produk
Essence Oil DS,"0,75 ml","4,5 ml",Diperlukan untuk setiap botol
Sunflower Oil,100 ml,600 ml,Sisa dari ukuran botol setelah essence oil
Stiker DS 100 ml,1 stiker,6 stiker,1 stiker per botol
Pump Botol 100 ml,1 pump,6 pump,1 pump per botol
,,,
Produk: DS - 250 ml,,,
Potensi Hasil Produk (Yield):,6,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 6 Botol (ml/unit),Keterangan
Botol 250 ml,1 botol (250 ml),6 botol (1500 ml),Botol 250 ml untuk setiap produk
Essence Oil DS,"0,75 ml","4,5 ml",Diperlukan untuk setiap botol
Sunflower Oil,300 ml,1800 ml,Sisa dari ukuran botol setelah essence oil
Stiker DS 250 ml,1 stiker,6 stiker,1 stiker per botol
Pump Botol 250 ml,1 pump,6 pump,1 pump per botol
,,,
Produk: GF - 10 ml,,,
Potensi Hasil Produk (Yield):,150,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 150 Botol (ml/unit),Keterangan
Botol 10 ml,1 botol (10 ml),150 botol (1500 ml),Botol 10 ml untuk setiap produk
Essence Oil GF,"0,1 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,10 ml,1500 ml,Sisa dari ukuran botol setelah essence oil
Stiker GF 10 ml,1 stiker,150 stiker,1 stiker per botol
Pump Botol 10 ml,1 pump,150 pump,1 pump per botol
,,,
Produk: GF - 15 ml,,,
Potensi Hasil Produk (Yield):,75,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 75 Botol (ml/unit),Keterangan
Botol 15 ml,1 botol (15 ml),75 botol (1125 ml),Botol 15 ml untuk setiap produk
Essence Oil GF,"0,2 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,15 ml,1125 ml,Sisa dari ukuran botol setelah essence oil
Stiker GF 15 ml,1 stiker,75 stiker,1 stiker per botol
Pump Botol 15 ml,1 pump,75 pump,1 pump per botol
,,,
Produk: GF - 30 ml,,,
Potensi Hasil Produk (Yield):,37,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 37 Botol (ml/unit),Keterangan
Botol 30 ml,1 botol (30 ml),37 botol (1110 ml),Botol 30 ml untuk setiap produk
Essence Oil GF,"0,4 ml","14,8 ml",Diperlukan untuk setiap botol
Sunflower Oil,30 ml,1110 ml,Sisa dari ukuran botol setelah essence oil
Stiker GF 30 ml,1 stiker,37 stiker,1 stiker per botol
Pump Botol 30 ml,1 pump,37 pump,1 pump per botol
,,,
Produk: GF - 100 ml,,,
Potensi Hasil Produk (Yield):,20,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 20 Botol (ml/unit),Keterangan
Botol 100 ml,1 botol (100 ml),20 botol (2000 ml),Botol 100 ml untuk setiap produk
Essence Oil GF,"0,75 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,100 ml,2000 ml,Sisa dari ukuran botol setelah essence oil
Stiker GF 100 ml,1 stiker,20 stiker,1 stiker per botol
Pump Botol 100 ml,1 pump,20 pump,1 pump per botol
,,,
Produk: GF - 250 ml,,,
Potensi Hasil Produk (Yield):,20,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 20 Botol (ml/unit),Keterangan
Botol 250 ml,1 botol (250 ml),20 botol (5000 ml),Botol 250 ml untuk setiap produk
Essence Oil GF,"0,75 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,250 ml,5000 ml,Sisa dari ukuran botol setelah essence oil
Stiker GF 250 ml,1 stiker,20 stiker,1 stiker per botol
Pump Botol 250 ml,1 pump,20 pump,1 pump per botol
,,,
Produk: TC - 10 ml,,,
Potensi Hasil Produk (Yield):,150,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 150 Botol (ml/unit),Keterangan
Botol 10 ml,1 botol (10 ml),150 botol (1500 ml),Botol 10 ml untuk setiap produk
Essence Oil TC,"0,1 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,10 ml,1500 ml,Sisa dari ukuran botol setelah essence oil
Stiker TC 10 ml,1 stiker,150 stiker,1 stiker per botol
Pump Botol 10 ml,1 pump,150 pump,1 pump per botol
,,,
Produk: TC - 15 ml,,,
Potensi Hasil Produk (Yield):,50,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 50 Botol (ml/unit),Keterangan
Botol 15 ml,1 botol (15 ml),50 botol (750 ml),Botol 15 ml untuk setiap produk
Essence Oil TC,"0,3 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,15 ml,750 ml,Sisa dari ukuran botol setelah essence oil
Stiker TC 15 ml,1 stiker,50 stiker,1 stiker per botol
Pump Botol 15 ml,1 pump,50 pump,1 pump per botol
,,,
Produk: TC - 30 ml,,,
Potensi Hasil Produk (Yield):,37,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 37 Botol (ml/unit),Keterangan
Botol 30 ml,1 botol (30 ml),37 botol (1110 ml),Botol 30 ml untuk setiap produk
Essence Oil TC,"0,4 ml","14,8 ml",Diperlukan untuk setiap botol
Sunflower Oil,30 ml,1110 ml,Sisa dari ukuran botol setelah essence oil
Stiker TC 30 ml,1 stiker,37 stiker,1 stiker per botol
Pump Botol 30 ml,1 pump,37 pump,1 pump per botol
,,,
Produk: TC - 100 ml,,,
Potensi Hasil Produk (Yield):,20,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 20 Botol (ml/unit),Keterangan
Botol 100 ml,1 botol (100 ml),20 botol (2000 ml),Botol 100 ml untuk setiap produk
Essence Oil TC,"0,75 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,100 ml,2000 ml,Sisa dari ukuran botol setelah essence oil
Stiker TC 100 ml,1 stiker,20 stiker,1 stiker per botol
Pump Botol 100 ml,1 pump,20 pump,1 pump per botol
,,,
Produk: TC - 250 ml,,,
Potensi Hasil Produk (Yield):,20,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 20 Botol (ml/unit),Keterangan
Botol 250 ml,1 botol (250 ml),20 botol (5000 ml),Botol 250 ml untuk setiap produk
Essence Oil TC,"0,75 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,250 ml,5000 ml,Sisa dari ukuran botol setelah essence oil
Stiker TC 250 ml,1 stiker,20 stiker,1 stiker per botol
Pump Botol 250 ml,1 pump,20 pump,1 pump per botol
,,,
Produk: IM - 10 ml,,,
Potensi Hasil Produk (Yield):,150,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 150 Botol (ml/unit),Keterangan
Botol 10 ml,1 botol (10 ml),150 botol (1500 ml),Botol 10 ml untuk setiap produk
Essence Oil IM,"0,1 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,10 ml,1500 ml,Sisa dari ukuran botol setelah essence oil
Stiker IM 10 ml,1 stiker,150 stiker,1 stiker per botol
Pump Botol 10 ml ,1 pump,150 pump,1 pump per botol
,,,
Produk: IM - 15 ml,,,
Potensi Hasil Produk (Yield):,100,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 100 Botol (ml/unit),Keterangan
Botol 15 ml,1 botol (15 ml),100 botol (1500 ml),Botol 15 ml untuk setiap produk
Essence Oil IM,"0,15 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,15 ml,1500 ml,Sisa dari ukuran botol setelah essence oil
Stiker IM 15 ml,1 stiker,100 stiker,1 stiker per botol
Pump Botol 15 ml,1 pump,100 pump,1 pump per botol
,,,
Produk: IM - 30 ml,,,
Potensi Hasil Produk (Yield):,50,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 50 Botol (ml/unit),Keterangan
Botol 30 ml,1 botol (30 ml),50 botol (1500 ml),Botol 30 ml untuk setiap produk
Essence Oil IM,"0,3 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,30 ml,1500 ml,Sisa dari ukuran botol setelah essence oil
Stiker IM 30 ml,1 stiker,50 stiker,1 stiker per botol
Pump Botol 30 ml,1 pump,50 pump,1 pump per botol
,,,
Produk: IM - 100 ml,,,
Potensi Hasil Produk (Yield):,37,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 37 Botol (ml/unit),Keterangan
Botol 100 ml,1 botol (100 ml),37 botol (3700 ml),Botol 100 ml untuk setiap produk
Essence Oil IM,"0,4 ml","14,8 ml",Diperlukan untuk setiap botol
Sunflower Oil,100 ml,3700 ml,Sisa dari ukuran botol setelah essence oil
Stiker IM 100 ml,1 stiker,37 stiker,1 stiker per botol
Pump Botol 100ml,1 pump,37 pump,1 pump per botol
,,,
Produk: IM - 250 ml,,,
Potensi Hasil Produk (Yield):,37,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 37 Botol (ml/unit),Keterangan
Botol 250 ml,1 botol (250 ml),37 botol (9250 ml),Botol 250 ml untuk setiap produk
Essence Oil IM,"0,4 ml","14,8 ml",Diperlukan untuk setiap botol
Sunflower Oil,250 ml,9250 ml,Sisa dari ukuran botol setelah essence oil
Stiker IM 250 ml,1 stiker,37 stiker,1 stiker per botol
Pump Botol 250 ml,1 pump,37 pump,1 pump per botol
,,,
Produk: JOY - 10 ml,,,
Potensi Hasil Produk (Yield):,150,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 150 Botol (ml/unit),Keterangan
Botol 10 ml,1 botol (10 ml),150 botol (1500 ml),Botol 10 ml untuk setiap produk
Essence Oil JOY,"0,1 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,10 ml,1500 ml,Sisa dari ukuran botol setelah essence oil
Stiker JOY 10 ml,1 stiker,150 stiker,1 stiker per botol
Pump Botol 10 ml,1 pump,150 pump,1 pump per botol
,,,
Produk: JOY - 15 ml,,,
Potensi Hasil Produk (Yield):,100,,
Bahan,Jumlah per Botol (ml/unit),Jumlah untuk 100 Botol (ml/unit),Keterangan
Botol 15 ml,1 botol (15 ml),100 botol (1500 ml),Botol 15 ml untuk setiap produk
Essence Oil JOY,"0,15 ml",15 ml,Diperlukan untuk setiap botol
Sunflower Oil,15 ml,1500 ml,Sisa dari ukuran botol setelah essence oil
