Produk,ARIMA Order,MAE,RMSE,MAPE (%),Stationary,ADF p-value,Kategori MAE
BR45,"(1, 1, 1)",0.0,0.0,0.0,Ya,0.0005,rendah
BR75,"(3, 1, 3)",0.0,0.0,0.3,Ya,0.0,rendah
EC75,"(3, 1, 3)",0.0,0.0,0.3,Ya,0.0,rendah
EC45,"(1, 1, 1)",0.0,0.0,0.0,Ya,0.0022,rendah
DS 100,"(2, 1, 2)",0.0,0.0,0.0,Tidak,0.1159,rendah
DS 250,"(1, 1, 1)",0.0,0.0,0.0,Ya,0.0,rendah
CNF 250,"(0, 1, 1)",0.0,0.0,0.23,Ya,0.0,rendah
CNF 100,"(1, 1, 1)",0.0,0.0,0.0,Ya,0.001,rendah
JOY 100,"(1, 1, 1)",0.0,0.0,0.01,Ya,0.0042,rendah
LDR,"(0, 1, 1)",0.0,0.0,0.12,Ya,0.0,rendah
LDR 250,"(0, 1, 1)",0.0,0.0,0.23,Ya,0.0,rendah
MYB 100,"(0, 1, 1)",0.0,0.0,0.19,Ya,0.0,rendah
JOY 10,"(1, 1, 1)",0.0,0.0,0.33,Ya,0.0134,rendah
GF 250,"(1, 1, 1)",0.0,0.0,0.04,Ya,0.0,rendah
TC 250,"(0, 1, 1)",0.0,0.0,0.0,Ya,0.0,rendah
TC,"(2, 1, 3)",0.0,0.0,0.3,Ya,0.0,rendah
MYB,"(1, 1, 1)",0.01,0.01,0.63,Ya,0.0001,menengah
JOY,"(1, 1, 1)",0.01,0.01,0.69,Ya,0.0263,menengah
AERIS10,"(3, 1, 2)",0.01,0.01,0.91,Ya,0.0,menengah
IB 100,"(2, 1, 3)",0.01,0.01,0.6,Ya,0.0,menengah
TP,"(3, 1, 2)",0.01,0.01,0.67,Ya,0.0,menengah
GF,"(3, 1, 2)",0.02,0.02,2.0,Ya,0.0003,menengah
LDR 10,"(0, 1, 1)",0.03,0.03,2.72,Ya,0.0,menengah
MYB 10,"(1, 1, 1)",0.03,0.03,3.44,Ya,0.0,menengah
BB 30,"(3, 1, 3)",0.04,0.04,4.05,Ya,0.0,tinggi
IB,"(0, 1, 1)",0.04,0.16,2.64,Ya,0.0,tinggi
NB,"(0, 1, 1)",0.04,0.04,3.9,Ya,0.0,tinggi
IB 10,"(3, 1, 2)",0.05,0.05,4.6,Ya,0.0,tinggi
DS 10,"(2, 1, 3)",0.06,0.16,4.75,Ya,0.0002,tinggi
TEETH10,"(1, 0, 1)",0.08,0.23,5.22,Ya,0.0001,tinggi
CC,"(3, 1, 2)",0.09,0.17,7.92,Ya,0.0,tinggi
GF 10,"(3, 1, 3)",0.09,0.32,5.49,Ya,0.0,tinggi
DS,"(2, 1, 3)",0.1,0.32,6.05,Ya,0.0,tinggi
TC 10,"(3, 1, 2)",0.13,0.36,8.44,Ya,0.0,tinggi
BB 10,"(3, 1, 3)",0.13,0.18,11.51,Ya,0.0,tinggi
CNF,"(3, 1, 2)",0.86,1.14,58.94,Ya,0.0036,tinggi
CNF 10,"(3, 1, 2)",3.54,5.86,165.59,Ya,0.0,tinggi
