Produk,Max_Daily_Sales,Avg_Daily_Sales,Standar_Deviasi,Buffer_Stock_Unit,Safety_Stock_95percent_Unit,ROP_Unit,Avg_Lead_Time_Hari,Max_Lead_Time_Hari,Rumus_Buffer_Stock,Rumus_ROP
GB-CNF-10,23.4,4.4,12.95,140.05,49.65,73.39,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-CNF-30,20.0,4.48,10.66,115.81,40.88,65.07,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-DS-10,4.0,0.8,2.46,23.68,9.42,13.74,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-JOY-10,3.0,0.43,1.5,18.68,5.75,8.07,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-DS-30,3.0,0.68,2.68,17.35,10.29,13.94,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-TC-10,2.8,0.46,1.68,17.1,6.45,8.95,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-IB-30,2.0,0.28,0.99,12.48,3.8,5.33,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-GF-30,2.0,0.3,1.47,12.37,5.63,7.26,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-TC-30,2.0,0.35,1.34,12.14,5.14,7.01,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-GF-10,2.0,0.41,1.9,11.81,7.28,9.47,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
GB-IB-10,2.0,0.41,1.81,11.78,6.96,9.18,5.4,7,(Max Daily Sales x 7) - (Avg Daily Sales x 5.4),(Avg Daily Sales x 5.4) + Safety Stock
